class,ag_004,ah_000,av_000,ay_008,az_001,ba_008,bk_000,bs_000,ca_000,cg_000,cm_000,cs_004,cv_000,de_000,do_000
12967,neg,224.0,1762050.0,302.0,1586522.0,1300.0,24.0,160120.0,106520.0,67454.0,174.0,0.0,163228.0,3344168.0,184.0,67810.0
12970,neg,113810.0,1063842.0,212.0,6.0,810.0,0.0,207780.0,1580.0,116674.0,88.0,428.0,52488.0,2092186.0,142.0,82204.0
12971,neg,30844.0,1189708.0,474.0,236754.0,1018.0,0.0,260640.0,109340.0,56050.0,98.0,0.0,97200.0,2232824.0,224.0,37750.0
12972,neg,279272.0,5892550.0,12364.0,951218.0,4664.0,26950.0,242240.0,63820.0,5958.0,606.0,0.0,683704.0,8902166.0,554.0,158884.0
12973,neg,6277200.0,7054412.0,1932.0,15803908.0,1144.0,20906.0,159260.0,110000.0,80802.0,324.0,526.0,2440704.0,7609466.0,11526.0,9720.0
12974,neg,262.0,1381704.0,2824.0,1064.0,1832.0,0.0,223080.0,200520.0,94560.0,92.0,0.0,168772.0,2676496.0,464.0,33998.0
12975,neg,1466.0,952060.0,2272.0,80586.0,1026.0,10.0,290740.0,12820.0,2364.0,100.0,0.0,122848.0,1820444.0,154.0,17734.0
12976,neg,18864.0,1548028.0,878.0,106040.0,1216.0,8032.0,359640.0,93760.0,31950.0,242.0,586.0,302858.0,2551822.0,120.0,21958.0
12980,neg,166956.0,4183866.0,38104.0,1428.0,4866.0,82728.0,205660.0,228220.0,104408.0,118.0,0.0,260054.0,6144268.0,412.0,39050.0
12981,neg,1460.0,937664.0,2404.0,135690.0,1280.0,2.0,184460.0,153220.0,80994.0,46.0,0.0,71734.0,1575950.0,140.0,21304.0
12982,neg,152.0,1272496.0,464.0,1263906.0,1530.0,0.0,160760.0,104840.0,72042.0,26.0,0.0,197450.0,1277144.0,148.0,30562.0
12986,neg,3026.0,778524.0,410.0,1247158.0,742.0,43538.0,238360.0,114040.0,65610.0,40.0,362.0,59428.0,1467656.0,240.0,2640.0
12987,neg,3814.0,2103430.0,0.0,1769322.0,10662.0,8.0,307100.0,112520.0,59018.0,0.0,0.0,375508.0,0.0,0.0,0.0
12989,neg,1773930.0,852378.0,320.0,1263820.0,6664.0,30710.0,269720.0,52880.0,20162.0,92.0,792.0,118484.0,1935786.0,1128.0,6808.0
12991,neg,1012.0,1906128.0,2096.0,4.0,3252.0,0.0,167940.0,149860.0,101946.0,72.0,0.0,268668.0,3590916.0,386.0,26970.0
12992,neg,788.0,1197258.0,5852.0,346492.0,1412.0,15256.0,191500.0,49780.0,31218.0,74.0,476.0,194254.0,1965054.0,238.0,23922.0
12995,neg,942.0,1407680.0,186.0,327986.0,864.0,0.0,138640.0,48140.0,39576.0,30.0,0.0,94632.0,1359308.0,70.0,43880.0
12997,neg,588116.0,3172760.0,400.0,18652.0,1290.0,46734.0,188620.0,108760.0,62768.0,196.0,0.0,117886.0,4967426.0,1280.0,180772.0
13004,neg,3071108.0,1610746.0,166.0,908326.0,386.0,139652.0,146140.0,52120.0,39948.0,108.0,542.0,90376.0,3603066.0,84.0,14826.0
13011,neg,548850.0,400080.0,238.0,521944.0,136.0,23688.0,394660.0,5520.0,878.0,106.0,374.0,35210.0,321456.0,428.0,3450.0
13014,neg,572.0,1139722.0,158.0,108496.0,6724.0,0.0,178360.0,34780.0,25126.0,118.0,0.0,111272.0,1925234.0,146.0,40328.0
13015,neg,93592.0,3461792.0,616.0,1396284.0,1446.0,1960.0,283020.0,32440.0,9202.0,328.0,0.0,414856.0,6355000.0,166.0,97402.0
13016,neg,433792.0,1284926.0,216.0,15306.0,408.0,1778.0,280840.0,95440.0,59552.0,86.0,0.0,112480.0,2385030.0,340.0,56520.0
13020,neg,2600.0,1395006.0,1242.0,193206.0,4548.0,396.0,160480.0,3340.0,118506.0,46.0,0.0,133744.0,2425326.0,518.0,46096.0
13021,neg,0.0,5848766.0,1574.0,0.0,0.0,0.0,247060.0,112480.0,26214.0,276.0,0.0,0.0,4758290.0,3546.0,98544.0
13022,neg,212.0,1472434.0,632.0,259476.0,1142.0,0.0,198600.0,7860.0,1628.0,28.0,700.0,78474.0,2898554.0,108.0,46228.0
13024,neg,4688028.0,2180544.0,0.0,1233832.0,14764.0,85108.0,304080.0,116640.0,41054.0,0.0,2060.0,178734.0,0.0,0.0,0.0
13026,neg,235436.0,2538766.0,4260.0,22914.0,2294.0,8872.0,400020.0,159960.0,48308.0,510.0,0.0,447134.0,3260328.0,1372.0,65568.0
13027,neg,302.0,1109744.0,284.0,11800.0,1504.0,0.0,151480.0,28380.0,15620.0,50.0,698.0,122516.0,1985192.0,118.0,35946.0
13039,neg,105744.0,2456904.0,1132.0,1392574.0,1142.0,5538.0,243240.0,244340.0,101806.0,148.0,0.0,162174.0,2902872.0,152.0,56790.0
13040,neg,36990.0,2207588.0,3210.0,1586630.0,1238.0,724.0,260320.0,134240.0,52988.0,128.0,692.0,309162.0,4015946.0,242.0,48408.0
13046,neg,3594.0,1852880.0,4724.0,0.0,866.0,0.0,171160.0,19300.0,16440.0,112.0,0.0,137318.0,3184804.0,582.0,26248.0
13048,neg,35598.0,2022040.0,4024.0,335006.0,1308.0,1586.0,245120.0,16620.0,6072.0,150.0,0.0,195426.0,3903596.0,304.0,59588.0
13050,neg,59386.0,1758956.0,2926.0,2174324.0,2046.0,0.0,323080.0,343100.0,108012.0,330.0,0.0,343408.0,2923898.0,1772.0,14094.0
13054,neg,35364.0,2405550.0,344.0,462300.0,2328.0,332.0,168600.0,138180.0,81524.0,118.0,1100.0,149564.0,4198050.0,332.0,100298.0
13059,neg,482.0,2374250.0,1316.0,1404092.0,574.0,0.0,130440.0,43940.0,34320.0,156.0,1110.0,190898.0,4498224.0,250.0,61842.0
13060,neg,1300.0,1399382.0,706.0,2064020.0,370.0,0.0,193840.0,98720.0,101164.0,0.0,402.0,318470.0,0.0,160.0,18620.0
13064,neg,303812.0,1210042.0,540.0,936540.0,356.0,0.0,81540.0,22800.0,32048.0,76.0,0.0,162150.0,2046970.0,132.0,44596.0
13066,neg,454.0,1074678.0,696.0,347494.0,1126.0,0.0,199180.0,23680.0,21270.0,24.0,0.0,166414.0,2101578.0,230.0,34144.0
13069,neg,6882.0,1500652.0,968.0,2391788.0,2264.0,0.0,241160.0,105220.0,47270.0,0.0,0.0,270202.0,0.0,362.0,33216.0
13070,neg,8302.0,1186458.0,0.0,589544.0,736.0,0.0,167560.0,112180.0,64656.0,0.0,0.0,105126.0,0.0,0.0,0.0
13071,neg,1448.0,1390872.0,2642.0,554600.0,9448.0,66.0,114420.0,89740.0,71122.0,62.0,0.0,141414.0,2472408.0,334.0,57132.0
13072,neg,14100.0,3170056.0,6604.0,305202.0,1124.0,1184.0,179700.0,1420.0,113894.0,118.0,0.0,271384.0,4630538.0,364.0,74122.0
13074,neg,15646.0,1498238.0,462.0,127374.0,820.0,0.0,233640.0,51920.0,15742.0,70.0,0.0,162710.0,2487358.0,436.0,59334.0
13075,neg,4466.0,1381684.0,8248.0,94344.0,2834.0,6.0,529700.0,191620.0,43512.0,154.0,0.0,200158.0,2038340.0,932.0,19858.0
13078,neg,344.0,784198.0,2130.0,28516.0,1020.0,5138.0,182680.0,120980.0,85142.0,106.0,0.0,89962.0,1639064.0,332.0,18834.0
13079,neg,5472.0,2124522.0,5264.0,538226.0,13752.0,188812.0,206120.0,131620.0,90214.0,0.0,0.0,248308.0,0.0,714.0,54360.0
13081,neg,2640568.0,1339888.0,1564.0,722746.0,808.0,34418.0,189080.0,162460.0,101254.0,40.0,324.0,237080.0,2553846.0,430.0,3188.0
13086,neg,328.0,1074364.0,130.0,49270.0,790.0,10.0,329940.0,33980.0,7578.0,48.0,550.0,54808.0,2276728.0,54.0,57462.0
13087,neg,630.0,1345246.0,534.0,1026522.0,1358.0,1142.0,219120.0,194680.0,73228.0,88.0,478.0,222954.0,2213418.0,136.0,27504.0
13089,neg,594.0,1147722.0,394.0,0.0,452.0,0.0,109460.0,28940.0,26910.0,46.0,0.0,111572.0,2372302.0,278.0,11138.0
13090,neg,254.0,1302584.0,262.0,255322.0,1206.0,0.0,153480.0,47840.0,40912.0,158.0,0.0,155828.0,2409034.0,96.0,50708.0
13091,neg,5116.0,4581296.0,7014.0,11071846.0,4128.0,0.0,245720.0,6220.0,103310.0,390.0,3320.0,830794.0,6523704.0,1462.0,29510.0
13094,neg,10500.0,3022480.0,2206.0,1791046.0,2246.0,50680.0,220580.0,165440.0,76562.0,272.0,816.0,174266.0,2213246.0,72.0,73794.0
13095,neg,0.0,921004.0,90.0,0.0,0.0,0.0,228800.0,177160.0,102996.0,270.0,0.0,0.0,945342.0,1782.0,0.0
13097,neg,214.0,1271184.0,1744.0,187822.0,1372.0,438.0,154340.0,23900.0,11950.0,66.0,0.0,117676.0,1288718.0,288.0,34224.0
13098,neg,25940.0,1388856.0,268.0,1052196.0,270.0,0.0,192100.0,93500.0,52852.0,62.0,0.0,81610.0,2539650.0,218.0,60836.0
13102,neg,21300.0,1531700.0,154.0,570362.0,1884.0,914.0,342080.0,145740.0,51646.0,56.0,0.0,151130.0,3150190.0,440.0,59044.0
13103,neg,82952.0,1284486.0,2446.0,327076.0,1332.0,4830.0,148760.0,90280.0,76780.0,62.0,0.0,154634.0,2442024.0,164.0,47744.0
13105,neg,99002.0,878258.0,3222.0,307470.0,1118.0,12552.0,195640.0,136400.0,74642.0,46.0,0.0,86574.0,1496406.0,306.0,17606.0
13108,neg,6282.0,2006714.0,3980.0,1446.0,3112.0,5656.0,401160.0,314820.0,98648.0,246.0,886.0,466782.0,1068990.0,634.0,23108.0
13110,neg,182.0,968282.0,276.0,607940.0,2012.0,0.0,228460.0,23800.0,6818.0,36.0,810.0,80168.0,1840182.0,130.0,39210.0
13114,neg,878776.0,2499056.0,246.0,2078628.0,1756.0,9586.0,231460.0,127340.0,29312.0,78.0,0.0,209820.0,5022118.0,34.0,14584.0
13116,neg,5360.0,2068094.0,338.0,396146.0,1956.0,0.0,205120.0,48700.0,21912.0,26.0,0.0,158354.0,2098086.0,286.0,80354.0
13117,neg,352.0,918866.0,126.0,1128332.0,1344.0,0.0,164640.0,87080.0,91718.0,50.0,346.0,61028.0,1625386.0,40.0,52506.0
13119,neg,883216.0,4993502.0,110.0,1858470.0,8330.0,78656.0,133040.0,94620.0,92022.0,156.0,2216.0,222752.0,8069994.0,1174.0,8146.0
13122,neg,540850.0,2032594.0,90.0,3876962.0,8252.0,53118.0,218540.0,30560.0,14054.0,98.0,1330.0,2285850.0,4043240.0,400.0,9108.0
13125,neg,4176026.0,2243636.0,470.0,574850.0,4796.0,76534.0,250460.0,38200.0,7146.0,138.0,1546.0,268180.0,1912064.0,1062.0,19738.0
13126,neg,3292.0,1104694.0,820.0,1111854.0,256.0,0.0,88860.0,37540.0,27686.0,56.0,750.0,137706.0,2198076.0,172.0,31852.0
13127,neg,47148.0,1862066.0,718.0,1100.0,682.0,0.0,115800.0,82260.0,83478.0,96.0,0.0,205458.0,3669058.0,482.0,50892.0
13135,neg,128682.0,1758572.0,198.0,682636.0,970.0,0.0,260760.0,226960.0,103826.0,70.0,0.0,133982.0,3909096.0,426.0,109616.0
13138,neg,62170.0,1052796.0,0.0,134650.0,1048.0,6844.0,118800.0,19600.0,21836.0,16.0,0.0,132868.0,2398522.0,0.0,0.0
13141,neg,88.0,1534162.0,556.0,589058.0,2120.0,0.0,225840.0,26900.0,10184.0,88.0,1446.0,200592.0,2976444.0,412.0,32998.0
13143,neg,46330.0,1363350.0,408.0,1589062.0,832.0,0.0,193900.0,176080.0,82152.0,138.0,0.0,227770.0,2249958.0,352.0,38244.0
13145,neg,329850.0,1042240.0,182.0,642140.0,418.0,19080.0,205380.0,58800.0,48304.0,82.0,0.0,99080.0,2202922.0,658.0,38430.0
13147,neg,204.0,994808.0,3444.0,0.0,1130.0,29128.0,250020.0,52460.0,5588.0,100.0,0.0,136654.0,1842028.0,110.0,19058.0
13153,neg,504.0,1163646.0,12870.0,42124.0,4772.0,0.0,144040.0,11120.0,6810.0,306.0,0.0,289412.0,16188.0,56.0,392.0
13154,neg,1752.0,1221890.0,382.0,168290.0,1088.0,0.0,156580.0,90860.0,53566.0,62.0,0.0,232324.0,2610156.0,186.0,47762.0
13156,neg,96246.0,1280532.0,414.0,30982.0,550.0,2748.0,270960.0,224500.0,83244.0,120.0,0.0,303262.0,2583620.0,962.0,69992.0
13157,neg,2610.0,1414710.0,742.0,1827640.0,1330.0,0.0,93240.0,79100.0,87796.0,116.0,0.0,190298.0,2578848.0,410.0,27440.0
13160,neg,1854134.0,5834116.0,202.0,6002306.0,1410.0,188020.0,313060.0,228620.0,65608.0,448.0,2012.0,540308.0,9287038.0,978.0,25326.0
13162,neg,678.0,1349020.0,796.0,593270.0,1986.0,0.0,322540.0,152460.0,71020.0,194.0,0.0,136594.0,2251386.0,72.0,25830.0
13163,neg,796.0,1206492.0,950.0,218190.0,536.0,0.0,85040.0,35680.0,52128.0,64.0,0.0,129618.0,2441242.0,190.0,29796.0
13166,neg,196.0,2387136.0,650.0,5819294.0,2564.0,0.0,177480.0,51040.0,19486.0,170.0,0.0,404496.0,4543230.0,258.0,27200.0
13173,neg,2336.0,1177040.0,1150.0,492370.0,2466.0,0.0,238400.0,153560.0,74482.0,52.0,0.0,175862.0,2380936.0,408.0,34246.0
13177,neg,118.0,1315148.0,434.0,389706.0,988.0,6.0,170720.0,45160.0,33222.0,110.0,0.0,216892.0,2067132.0,178.0,40444.0
13178,neg,4816.0,2022394.0,2796.0,490170.0,2226.0,6990.0,169960.0,75740.0,47576.0,144.0,0.0,490220.0,795422.0,290.0,45476.0
13179,neg,233914.0,1389732.0,1742.0,314936.0,328.0,1046.0,140240.0,80840.0,77142.0,124.0,0.0,173910.0,2565572.0,218.0,49496.0
13180,neg,0.0,1568238.0,0.0,0.0,0.0,0.0,130200.0,33040.0,24422.0,54.0,0.0,0.0,3298988.0,0.0,0.0
13185,neg,26728.0,1239470.0,1306.0,74752.0,484.0,22886.0,141420.0,12000.0,5446.0,42.0,644.0,170322.0,1277372.0,86.0,47326.0
13187,neg,270.0,1328750.0,8736.0,1102110.0,590.0,0.0,334920.0,194200.0,55320.0,50.0,0.0,228508.0,2037950.0,216.0,25202.0
13190,neg,104438.0,1148738.0,356.0,112626.0,706.0,3116.0,251280.0,68360.0,23896.0,72.0,0.0,84610.0,2195982.0,146.0,42340.0
13192,neg,208838.0,1741960.0,600.0,284942.0,776.0,0.0,118660.0,8400.0,5848.0,54.0,0.0,126314.0,3271394.0,656.0,61612.0
13194,neg,3230.0,1425818.0,616.0,403922.0,1478.0,0.0,215980.0,215220.0,79622.0,62.0,496.0,116576.0,2600938.0,928.0,42518.0
13197,neg,2334.0,1474556.0,2234.0,10.0,1046.0,60.0,351660.0,117500.0,41330.0,108.0,810.0,177882.0,2783036.0,582.0,58278.0
13198,neg,246.0,1297550.0,424.0,589992.0,1966.0,146.0,198780.0,100640.0,60448.0,60.0,696.0,177490.0,2212428.0,184.0,46154.0
13199,neg,5972.0,1482144.0,452.0,609504.0,436.0,0.0,217000.0,56940.0,25222.0,192.0,0.0,130218.0,3102364.0,64.0,39852.0
13200,neg,0.0,1801804.0,154.0,0.0,0.0,0.0,259560.0,131660.0,48296.0,118.0,0.0,0.0,4701048.0,1614.0,41136.0
13205,neg,10446.0,2059370.0,2118.0,4634022.0,1284.0,17906.0,153940.0,115160.0,49686.0,188.0,0.0,509498.0,3935110.0,686.0,7856.0
13207,neg,8418.0,2379000.0,1658.0,979316.0,1474.0,2646.0,144880.0,106760.0,86398.0,130.0,0.0,199204.0,4846340.0,334.0,75652.0
13208,neg,336.0,1388418.0,952.0,2133092.0,3274.0,8.0,358620.0,164420.0,45812.0,122.0,0.0,244028.0,1844102.0,374.0,29656.0
13210,neg,876.0,1414326.0,168.0,333386.0,1054.0,0.0,164540.0,178020.0,116446.0,44.0,0.0,198874.0,2812346.0,124.0,49604.0
13211,neg,576.0,1180528.0,294.0,1274572.0,2682.0,0.0,257880.0,167700.0,74924.0,30.0,0.0,112524.0,2474342.0,460.0,44378.0
13212,neg,2446.0,1021540.0,1964.0,496110.0,658.0,1520.0,269240.0,28620.0,6740.0,136.0,0.0,132820.0,1846732.0,166.0,22432.0
13213,neg,82526.0,138222.0,200.0,1471652.0,1768.0,66726.0,296060.0,227900.0,101466.0,76.0,562.0,82698.0,1558094.0,362.0,9818.0
13214,neg,1214.0,1112086.0,194.0,13110.0,1140.0,22.0,111760.0,31120.0,20674.0,58.0,0.0,95724.0,2021052.0,118.0,49348.0
13216,neg,183822.0,1582376.0,374.0,88548.0,648.0,64448.0,275760.0,93820.0,36792.0,70.0,0.0,255934.0,2814168.0,156.0,21610.0
13218,neg,3238.0,1146002.0,584.0,96566.0,134.0,162.0,184740.0,12560.0,18362.0,72.0,0.0,88238.0,2186480.0,180.0,30156.0
13220,neg,152.0,1116626.0,242.0,348982.0,212.0,0.0,105480.0,95660.0,117642.0,36.0,120.0,78318.0,1943518.0,166.0,12852.0
13223,neg,1712.0,2780084.0,788.0,18148.0,160.0,0.0,146440.0,64920.0,56540.0,170.0,38.0,151362.0,4815700.0,354.0,36246.0
13225,neg,97520.0,880330.0,1028.0,61314.0,1284.0,9590.0,315060.0,90840.0,27242.0,60.0,0.0,104224.0,1575974.0,142.0,20632.0
13227,neg,224696.0,1135836.0,8748.0,147696.0,436.0,0.0,197080.0,85580.0,42128.0,164.0,1102.0,122128.0,1917398.0,356.0,14736.0
13228,neg,1664.0,797878.0,226.0,1617908.0,3664.0,14710.0,233420.0,120960.0,50896.0,76.0,632.0,93664.0,1224536.0,528.0,2682.0
13231,neg,626.0,1379248.0,2744.0,105060.0,1366.0,1118.0,174040.0,94500.0,47544.0,102.0,0.0,139764.0,2397898.0,238.0,21882.0
13234,neg,8724.0,1203078.0,308.0,355982.0,444.0,0.0,272760.0,85380.0,30016.0,38.0,0.0,110340.0,2223552.0,228.0,41660.0
13237,neg,124476.0,3839450.0,2646.0,4370806.0,1066.0,0.0,241660.0,148260.0,85068.0,238.0,0.0,393664.0,7157540.0,940.0,94554.0
13240,neg,1602.0,1371474.0,184.0,363118.0,1470.0,34.0,134840.0,105060.0,80498.0,36.0,264.0,177766.0,2098240.0,212.0,60604.0
13241,neg,3672.0,1013690.0,3820.0,12696.0,3786.0,286.0,198340.0,141460.0,96130.0,92.0,0.0,99318.0,1869896.0,296.0,16436.0
13243,neg,10896.0,1396446.0,826.0,2340792.0,866.0,0.0,186180.0,119880.0,76440.0,128.0,0.0,200780.0,2624260.0,346.0,20658.0
13247,neg,91508.0,1192592.0,216.0,114268.0,1014.0,23718.0,198480.0,66400.0,38020.0,94.0,0.0,74084.0,1451228.0,330.0,24432.0
13250,neg,30980.0,1238196.0,318.0,358436.0,3726.0,406.0,185240.0,260680.0,101310.0,108.0,1212.0,162990.0,2543742.0,146.0,34930.0
13251,neg,284440.0,2845988.0,538.0,876198.0,398.0,0.0,175660.0,28400.0,9306.0,102.0,0.0,338640.0,6119402.0,266.0,84520.0
13254,neg,123452.0,2544274.0,5850.0,2.0,1600.0,0.0,108180.0,9860.0,8118.0,568.0,0.0,313878.0,3113472.0,768.0,1808.0
13261,neg,93672.0,404038.0,482.0,55078.0,2444.0,36638.0,451100.0,354280.0,90300.0,260.0,868.0,208622.0,1656684.0,1370.0,4104.0
13263,neg,170.0,1431652.0,3002.0,1076.0,1370.0,0.0,634700.0,118840.0,63056.0,210.0,0.0,161908.0,2339494.0,264.0,26642.0
13264,neg,1194.0,2114644.0,2730.0,5215306.0,3976.0,0.0,368440.0,320500.0,100248.0,120.0,0.0,486142.0,3272982.0,684.0,13764.0
13267,neg,4322484.0,7325942.0,6274.0,8878570.0,888.0,122738.0,179000.0,63360.0,38676.0,402.0,486.0,1557416.0,6357046.0,4790.0,35932.0
13274,neg,1940.0,1200450.0,200.0,1299032.0,5226.0,0.0,176400.0,45600.0,43938.0,62.0,0.0,88034.0,2189468.0,474.0,55978.0
13277,neg,296838.0,1148078.0,112.0,215094.0,2946.0,0.0,150920.0,56460.0,39154.0,64.0,0.0,68988.0,2249562.0,172.0,34304.0
13280,neg,1964.0,1468234.0,0.0,3263814.0,1468.0,0.0,156060.0,41760.0,26876.0,308.0,0.0,311832.0,2733514.0,0.0,0.0
13283,neg,1716.0,1181016.0,316.0,1541386.0,936.0,0.0,186420.0,59440.0,38396.0,60.0,0.0,130036.0,2279674.0,346.0,40808.0
13287,neg,19060.0,1058626.0,1194.0,0.0,866.0,982.0,205800.0,13920.0,5548.0,108.0,0.0,116784.0,2004008.0,222.0,33896.0
13290,neg,2312.0,1433658.0,2110.0,436978.0,1230.0,4.0,224000.0,11460.0,526.0,90.0,0.0,265036.0,2811698.0,518.0,26858.0
13298,neg,598.0,1265904.0,50.0,0.0,730.0,2748.0,151700.0,57640.0,28326.0,194.0,0.0,131530.0,2347884.0,120.0,34914.0
13300,neg,2628.0,947400.0,280.0,16110.0,838.0,674.0,283320.0,157080.0,78622.0,104.0,252.0,41580.0,1718234.0,216.0,29770.0
13305,neg,8228.0,1220740.0,530.0,348760.0,372.0,0.0,129640.0,37140.0,27188.0,110.0,0.0,74856.0,2358898.0,250.0,27160.0
13306,neg,22774.0,1353228.0,996.0,817238.0,2852.0,288.0,264220.0,181920.0,86618.0,122.0,0.0,210956.0,2525652.0,100.0,28178.0
13307,neg,32694.0,1053060.0,1354.0,194302.0,1134.0,6972.0,173800.0,16800.0,9680.0,36.0,0.0,96722.0,2117524.0,232.0,20646.0
13311,neg,79792.0,2323496.0,2128.0,578004.0,1232.0,2252.0,123140.0,65840.0,60078.0,138.0,0.0,195692.0,4534402.0,414.0,89190.0
13315,neg,3348362.0,2747068.0,4148.0,744948.0,4424.0,561688.0,231480.0,106700.0,17140.0,182.0,922.0,554798.0,10199362.0,3026.0,45468.0
13316,neg,53228.0,902860.0,118.0,1234800.0,2592.0,58762.0,187800.0,127720.0,84606.0,28.0,402.0,67744.0,1791404.0,82.0,8686.0
13318,neg,39108.0,806748.0,68.0,16240.0,2936.0,14438.0,363320.0,53080.0,12372.0,140.0,526.0,112674.0,1628188.0,308.0,2652.0
13321,neg,946694.0,668954.0,1022.0,1689440.0,3134.0,28126.0,231400.0,178980.0,95852.0,54.0,536.0,492748.0,1136586.0,1576.0,7774.0
13323,neg,21694.0,2095696.0,5148.0,19416.0,268.0,0.0,122740.0,15680.0,11114.0,264.0,342.0,222186.0,1614662.0,476.0,6006.0
13326,neg,0.0,4730560.0,1736.0,0.0,0.0,0.0,193360.0,740.0,119406.0,586.0,0.0,0.0,4865556.0,4492.0,352.0
13329,neg,44694.0,1529812.0,2120.0,863914.0,1542.0,9130.0,313500.0,84040.0,22600.0,232.0,0.0,313524.0,2300866.0,270.0,14586.0
13332,neg,4869266.0,3216460.0,1464.0,2561332.0,11390.0,77264.0,234980.0,134780.0,73036.0,102.0,2212.0,1015778.0,2511920.0,326.0,12092.0
13334,neg,4366.0,1669092.0,818.0,1341138.0,5554.0,0.0,252900.0,58260.0,26436.0,122.0,0.0,171088.0,3086508.0,390.0,37196.0
13336,neg,418.0,1159054.0,1672.0,487708.0,452.0,1362.0,192680.0,30340.0,15674.0,120.0,0.0,129096.0,2100748.0,312.0,24896.0
13339,neg,624.0,2099908.0,294.0,1468830.0,878.0,0.0,277140.0,52060.0,35150.0,28.0,686.0,212964.0,4084124.0,526.0,42408.0
13342,neg,21956.0,2358188.0,3194.0,311476.0,1516.0,1700.0,156440.0,394200.0,111404.0,108.0,0.0,272940.0,4373934.0,312.0,73300.0
13348,neg,134592.0,1104966.0,32.0,1040276.0,1150.0,31294.0,107300.0,46000.0,45912.0,72.0,252.0,434470.0,1472948.0,446.0,12088.0
13349,neg,1044.0,6767026.0,72252.0,3124.0,3760.0,0.0,116900.0,56000.0,53126.0,1278.0,0.0,586468.0,136166.0,264.0,1392.0
13351,neg,12244.0,2999874.0,404.0,0.0,1062.0,0.0,211160.0,57680.0,15790.0,0.0,0.0,455588.0,0.0,206.0,20904.0
13352,neg,588.0,1272072.0,316.0,739906.0,540.0,0.0,250900.0,207060.0,87124.0,0.0,0.0,142926.0,0.0,300.0,41700.0
13354,neg,191824.0,2718788.0,2274.0,1452150.0,1234.0,4648.0,297600.0,126840.0,38168.0,114.0,0.0,337018.0,4166908.0,262.0,58896.0
13358,neg,221088.0,1227768.0,406.0,578438.0,232.0,0.0,102100.0,17780.0,18510.0,106.0,0.0,76810.0,2012394.0,482.0,27932.0
13359,neg,26036.0,1183608.0,1548.0,685036.0,11200.0,1072.0,235760.0,228360.0,118406.0,88.0,0.0,144594.0,2171258.0,198.0,34040.0
13362,neg,332.0,1382120.0,464.0,330526.0,958.0,0.0,271440.0,167040.0,92636.0,70.0,940.0,147022.0,1740566.0,518.0,30382.0
13365,neg,20210.0,1109984.0,182.0,238792.0,652.0,15462.0,127120.0,11240.0,7966.0,74.0,0.0,76972.0,2139980.0,258.0,38862.0
13372,neg,2964166.0,1645660.0,686.0,1372386.0,878.0,154820.0,370200.0,352860.0,109450.0,124.0,466.0,207110.0,2669302.0,1054.0,7386.0
13373,neg,54360.0,2976078.0,1174.0,795362.0,3572.0,158882.0,236180.0,264140.0,110620.0,212.0,0.0,232754.0,4996220.0,592.0,113178.0
13376,neg,2820.0,980570.0,804.0,31480.0,3138.0,1596.0,268160.0,45960.0,13978.0,68.0,0.0,194564.0,1759404.0,202.0,35390.0
13385,neg,203020.0,1957452.0,2058.0,1016722.0,1762.0,71980.0,160280.0,8580.0,117280.0,142.0,0.0,215052.0,3771076.0,426.0,154734.0
13388,neg,1284.0,1892668.0,668.0,1366452.0,11060.0,0.0,341800.0,144840.0,92934.0,128.0,0.0,220392.0,3086594.0,1164.0,29630.0
13392,neg,10736.0,2449148.0,498.0,3493530.0,360.0,0.0,125120.0,75680.0,90598.0,88.0,0.0,263380.0,4362020.0,102.0,28724.0
13393,neg,9396.0,1124424.0,206.0,543858.0,242.0,0.0,174100.0,28680.0,17942.0,60.0,0.0,138810.0,2112100.0,134.0,35030.0
13394,neg,140376.0,4729028.0,1282.0,0.0,1526.0,3662.0,236160.0,25020.0,118424.0,352.0,0.0,458892.0,7948972.0,768.0,136968.0
13395,neg,1420.0,1233284.0,390.0,17286.0,1418.0,0.0,170980.0,54140.0,35174.0,188.0,670.0,176980.0,2154532.0,390.0,15952.0
13399,neg,112704.0,1060036.0,1840.0,124368.0,634.0,7176.0,271000.0,1340.0,119904.0,50.0,266.0,72104.0,1443750.0,354.0,41188.0
13400,neg,2832.0,1070974.0,262.0,651468.0,786.0,0.0,235260.0,85460.0,47200.0,52.0,666.0,97466.0,2227458.0,294.0,18582.0
13403,neg,2378.0,1228532.0,540.0,704628.0,4774.0,0.0,289780.0,238160.0,114982.0,92.0,0.0,211474.0,1412174.0,142.0,45874.0
13405,neg,624276.0,352120.0,762.0,26706.0,346.0,34688.0,290820.0,1060.0,80.0,42.0,116.0,44736.0,817538.0,246.0,2326.0
13406,neg,81914.0,4005554.0,4198.0,2660070.0,9016.0,34706.0,294020.0,21900.0,111120.0,478.0,0.0,456198.0,5990444.0,688.0,101734.0
13413,neg,166.0,1222802.0,142.0,677468.0,1606.0,0.0,111520.0,18060.0,16046.0,92.0,806.0,91270.0,2154908.0,286.0,37752.0
13415,neg,18916.0,2070862.0,394.0,1837678.0,1318.0,0.0,153000.0,134620.0,103406.0,100.0,334.0,351256.0,3357496.0,162.0,67566.0
13416,neg,22728.0,3145968.0,3598.0,3206894.0,3466.0,806.0,284720.0,50000.0,16710.0,256.0,0.0,471102.0,2104246.0,812.0,51600.0
